source_figure_id	chapter_slug	source_href	asset_path	media_type	alt_text	caption_text	notes
009-conditions-requiring-specific-prehospital-clinical-management-fig-01	009-conditions-requiring-specific-prehospital-clinical-management	c3CK.xhtml	source/figures-raw/009-conditions-requiring-specific-prehospital-clinical-management-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JT8.jpg
009-conditions-requiring-specific-prehospital-clinical-management-fig-02	009-conditions-requiring-specific-prehospital-clinical-management	c3CK.xhtml	source/figures-raw/009-conditions-requiring-specific-prehospital-clinical-management-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JT9.jpg
009-conditions-requiring-specific-prehospital-clinical-management-fig-03	009-conditions-requiring-specific-prehospital-clinical-management	c3CK.xhtml	source/figures-raw/009-conditions-requiring-specific-prehospital-clinical-management-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JTA.jpg
009-conditions-requiring-specific-prehospital-clinical-management-fig-04	009-conditions-requiring-specific-prehospital-clinical-management	c3CK.xhtml	source/figures-raw/009-conditions-requiring-specific-prehospital-clinical-management-fig-04.jpg	image/jpeg			source_asset_href=image_rsrc1JTB.jpg
013-end-of-life-care-fig-01	013-end-of-life-care	c4GW.xhtml	source/figures-raw/013-end-of-life-care-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JTC.jpg
013-end-of-life-care-fig-02	013-end-of-life-care	c4GW.xhtml	source/figures-raw/013-end-of-life-care-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JTD.jpg
017-mental-capacity-act-2005-fig-01	017-mental-capacity-act-2005	c6CE.xhtml	source/figures-raw/017-mental-capacity-act-2005-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JTE.jpg
018-pain-management-in-adults-and-children-fig-01	018-pain-management-in-adults-and-children	c6TA.xhtml	source/figures-raw/018-pain-management-in-adults-and-children-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JTF.jpg
018-pain-management-in-adults-and-children-fig-02	018-pain-management-in-adults-and-children	c6TA.xhtml	source/figures-raw/018-pain-management-in-adults-and-children-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JTG.jpg
018-pain-management-in-adults-and-children-fig-03	018-pain-management-in-adults-and-children	c6TA.xhtml	source/figures-raw/018-pain-management-in-adults-and-children-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JTH.jpg
018-pain-management-in-adults-and-children-fig-04	018-pain-management-in-adults-and-children	c6TA.xhtml	source/figures-raw/018-pain-management-in-adults-and-children-fig-04.jpg	image/jpeg			source_asset_href=image_rsrc1JTJ.jpg
018-pain-management-in-adults-and-children-fig-05	018-pain-management-in-adults-and-children	c6TA.xhtml	source/figures-raw/018-pain-management-in-adults-and-children-fig-05.jpg	image/jpeg			source_asset_href=image_rsrc1JTK.jpg
018-pain-management-in-adults-and-children-fig-06	018-pain-management-in-adults-and-children	c6TA.xhtml	source/figures-raw/018-pain-management-in-adults-and-children-fig-06.jpg	image/jpeg			source_asset_href=image_rsrc1JTM.jpg
022-safeguarding-children-fig-01	022-safeguarding-children	c8H4.xhtml	source/figures-raw/022-safeguarding-children-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JTN.jpg
022-safeguarding-children-fig-02	022-safeguarding-children	c8H4.xhtml	source/figures-raw/022-safeguarding-children-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JTP.jpg
023-sexual-assault-fig-01	023-sexual-assault	c99H.xhtml	source/figures-raw/023-sexual-assault-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JTR.jpg
026-out-of-hospital-cardiac-arrest-overview-fig-01	026-out-of-hospital-cardiac-arrest-overview	c9VN.xhtml	source/figures-raw/026-out-of-hospital-cardiac-arrest-overview-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JTS.jpg
027-advanced-life-support-fig-01	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JTT.jpg
027-advanced-life-support-fig-02	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JTU.jpg
027-advanced-life-support-fig-03	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JTV.jpg
