3/23/26, 12:42 PM
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	   14007	275981	                1683315	               1918883	   115	
Remaining:       	   14007	275981	                1683315	               1918883	   115	
Unique:          	   13474	272658	                1665325	               1897768	   115	
Unique Remaining:	   13474	272658	                1665325	               1897768	   115	


Individual File Statistics:

File Name                                                                                         	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
001-cardiorespiratory-arrest-in-hospital.txt                                                      	           130	               130	            130	                      130	       2470	           2470	        2470	                  2470	                        13636	                            13636	                         13636	                                   13636	                       15825	                           15825	                        15825	                                  15825	
002-the-critically-ill-patient.txt                                                                	           225	               225	            222	                      222	       4705	           4705	        4684	                  4684	                        27228	                            27228	                         27121	                                   27121	                       31104	                           31104	                        30976	                                  30976	
003-the-unconscious-patient.txt                                                                   	            80	                80	             77	                       77	       1875	           1875	        1854	                  1854	                        11320	                            11320	                         11213	                                   11213	                       12902	                           12902	                        12774	                                  12774	
004-anaphylaxis.txt                                                                               	            94	                94	             91	                       91	       1958	           1958	        1937	                  1937	                        11461	                            11461	                         11354	                                   11354	                       13145	                           13145	                        13017	                                  13017	
005-sepsis.txt                                                                                    	           189	               189	            185	                      185	       3955	           3955	        3928	                  3928	                        23655	                            23655	                         23519	                                   23519	                       26937	                           26937	                        26775	                                  26775	
006-cardiac-tamponade.txt                                                                         	            48	                48	             45	                       45	        929	            929	         908	                   908	                         5828	                             5828	                          5721	                                    5721	                        6655	                            6655	                         6527	                                   6527	
007-acid-base-disorders.txt                                                                       	            75	                75	             72	                       72	       1760	           1760	        1739	                  1739	                        11236	                            11236	                         11129	                                   11129	                       12652	                           12652	                        12524	                                  12524	
008-poisoning.txt                                                                                 	           150	               150	            147	                      147	       3750	           3750	        3729	                  3729	                        22461	                            22461	                         22354	                                   22354	                       25669	                           25669	                        25541	                                  25541	
009-hypothermia.txt                                                                               	            49	                49	             46	                       46	        823	            823	         802	                   802	                         5012	                             5012	                          4905	                                    4905	                        5665	                            5665	                         5537	                                   5537	
010-drowning.txt                                                                                  	            37	                37	             34	                       34	        628	            628	         607	                   607	                         4041	                             4041	                          3934	                                    3934	                        4590	                            4590	                         4462	                                   4462	
011-syncope-and-presyncope.txt                                                                    	           109	               109	            105	                      105	       2312	           2312	        2284	                  2284	                        14305	                            14305	                         14134	                                   14134	                       16231	                           16231	                        16034	                                  16034	
012-acute-coronary-syndromes-acs.txt                                                              	           209	               209	            205	                      205	       3757	           3757	        3733	                  3733	                        22674	                            22674	                         22544	                                   22544	                       25971	                           25971	                        25818	                                  25818	
013-cardiac-arrhythmia.txt                                                                        	           314	               314	            295	                      295	       5155	           5155	        5023	                  5023	                        31920	                            31920	                         31134	                                   31134	                       36025	                           36025	                        35134	                                  35134	
014-heart-failure.txt                                                                             	           192	               192	            188	                      188	       4119	           4119	        4091	                  4091	                        24706	                            24706	                         24575	                                   24575	                       28256	                           28256	                        28099	                                  28099	
015-infective-endocarditis.txt                                                                    	           100	               100	             97	                       97	       2440	           2440	        2419	                  2419	                        15093	                            15093	                         14986	                                   14986	                       17326	                           17326	                        17198	                                  17198	
016-acute-pericarditis.txt                                                                        	            78	                78	             74	                       74	       1381	           1381	        1354	                  1354	                         8550	                             8550	                          8389	                                    8389	                        9726	                            9726	                         9539	                                   9539	
017-cardiomyopathies-and-congenital-heart-disease-in-adults.txt                                   	           234	               234	            230	                      230	       4566	           4566	        4538	                  4538	                        28245	                            28245	                         28085	                                   28085	                       32262	                           32262	                        32076	                                  32076	
018-aortic-dissection-and-other-acute-aortic-syndromes.txt                                        	           121	               121	            118	                      118	       2175	           2175	        2154	                  2154	                        12958	                            12958	                         12851	                                   12851	                       14929	                           14929	                        14801	                                  14801	
019-pulmonary-hypertension.txt                                                                    	           151	               151	            147	                      147	       2937	           2937	        2915	                  2915	                        17125	                            17125	                         17016	                                   17016	                       19637	                           19637	                        19507	                                  19507	
020-heart-valve-disease-native-prosthetic-and-repaired-valves.txt                                 	            89	                89	             86	                       86	       1722	           1722	        1701	                  1701	                        10242	                            10242	                         10135	                                   10135	                       11801	                           11801	                        11673	                                  11673	
021-hypertensive-emergencies.txt                                                                  	           119	               119	            113	                      113	       2224	           2224	        2182	                  2182	                        13221	                            13221	                         12990	                                   12990	                       15158	                           15158	                        14885	                                  14885	
022-acute-asthma.txt                                                                              	            99	                99	             96	                       96	       1841	           1841	        1820	                  1820	                        10531	                            10531	                         10424	                                   10424	                       12095	                           12095	                        11967	                                  11967	
023-exacerbation-of-chronic-obstructive-pulmonary-disease-copd.txt                                	           172	               172	            167	                      167	       2601	           2601	        2572	                  2572	                        15809	                            15809	                         15648	                                   15648	                       18142	                           18142	                        17954	                                  17954	
024-haemoptysis.txt                                                                               	            76	                76	             72	                       72	       1178	           1178	        1156	                  1156	                         7032	                             7032	                          6923	                                    6923	                        8038	                            8038	                         7908	                                   7908	
025-respiratory-infection-cap-hap-and-tb.txt                                                      	           255	               255	            252	                      252	       4265	           4265	        4244	                  4244	                        25550	                            25550	                         25443	                                   25443	                       29225	                           29225	                        29097	                                  29097	
026-bronchiectasis.txt                                                                            	           144	               144	            140	                      140	       2517	           2517	        2492	                  2492	                        15205	                            15205	                         15068	                                   15068	                       17450	                           17450	                        17289	                                  17289	
027-interstitial-lung-disease.txt                                                                 	           184	               184	            180	                      180	       3401	           3401	        3374	                  3374	                        20761	                            20761	                         20617	                                   20617	                       23629	                           23629	                        23459	                                  23459	
028-pleural-disease.txt                                                                           	           217	               217	            211	                      211	       3579	           3579	        3555	                  3555	                        21275	                            21275	                         21162	                                   21162	                       24332	                           24332	                        24198	                                  24198	
029-sleep-disordered-breathing.txt                                                                	           130	               130	            118	                      118	       2489	           2489	        2395	                  2395	                        14448	                            14448	                         13915	                                   13915	                       16645	                           16645	                        16032	                                  16032	
030-respiratory-failure-oxygenation-and-ventilatory-support.txt                                   	           119	               119	            114	                      114	       2222	           2222	        2199	                  2199	                        13971	                            13971	                         13860	                                   13860	                       15805	                           15805	                        15673	                                  15673	
031-venous-thromboembolism.txt                                                                    	           158	               158	            150	                      150	       3556	           3556	        3498	                  3498	                        21261	                            21261	                         20931	                                   20931	                       24263	                           24263	                        23881	                                  23881	
032-abdominal-pain.txt                                                                            	           120	               120	            117	                      117	       2017	           2017	        1996	                  1996	                        12578	                            12578	                         12471	                                   12471	                       14247	                           14247	                        14119	                                  14119	
033-nausea-and-vomiting.txt                                                                       	            86	                86	             83	                       83	       1184	           1184	        1163	                  1163	                         7652	                             7652	                          7545	                                    7545	                        8598	                            8598	                         8470	                                   8470	
034-diarrhoea.txt                                                                                 	           147	               147	            144	                      144	       1973	           1973	        1952	                  1952	                        11834	                            11834	                         11727	                                   11727	                       13435	                           13435	                        13307	                                  13307	
035-jaundice.txt                                                                                  	            50	                50	             46	                       46	       1043	           1043	        1021	                  1021	                         6979	                             6979	                          6856	                                    6856	                        7860	                            7860	                         7716	                                   7716	
